epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.90299,1.02354,4.03553,0.96646,0.00409,1,0.0966,0.04883,0.59302,3.41932,0.72428,2e-05,2e-05,2e-05
2,12.0878,1.10787,4.05941,1.01618,0.00409,1,0.12066,0.06899,0.58507,3.40222,0.72081,5.9406e-05,5.9406e-05,5.9406e-05
3,15.0184,0.9924,3.9584,0.96138,0.00409,1,0.09983,0.05531,0.5757,3.39227,0.72022,9.802e-05,9.802e-05,9.802e-05
4,18.0352,0.99617,4.00827,0.98283,0.00409,1,0.13429,0.07143,0.56649,3.38115,0.71844,0.000135842,0.000135842,0.000135842
5,21.1974,1.03682,3.7814,0.96574,0.00409,1,0.57097,0.4017,0.66975,3.28939,0.76715,0.000172872,0.000172872,0.000172872
6,24.3314,0.8566,2.62798,0.87096,0.00409,1,0.74423,0.61206,0.55013,3.23644,0.76281,0.00020911,0.00020911,0.00020911
7,27.4193,0.77743,1.7554,0.92454,0.00409,1,0.56165,0.40923,0.50042,3.18889,0.72802,0.000244556,0.000244556,0.000244556
8,30.4208,0.75194,1.54387,0.85686,0.00409,1,0.57999,0.38838,0.55829,3.12703,0.76577,0.00027921,0.00027921,0.00027921
9,33.664,0.67739,1.45845,0.87446,0.00409,1,0.26528,0.18616,0.57619,3.09404,0.74453,0.000313072,0.000313072,0.000313072
10,36.7571,0.66353,1.28236,0.86071,0.00409,1,0.23547,0.17132,0.58784,3.14073,0.7459,0.000346142,0.000346142,0.000346142
11,39.8907,0.6011,1.20527,0.84407,0.00409,1,0.23117,0.15128,0.57104,3.17625,0.75293,0.00037842,0.00037842,0.00037842
12,43.0072,0.6618,1.17437,0.87144,0.00409,1,0.23203,0.13712,0.53433,3.19224,0.74141,0.000409906,0.000409906,0.000409906
13,46.1943,0.6287,1.07482,0.83247,1,0.14351,0.26357,0.1496,0.56073,3.12893,0.74343,0.0004406,0.0004406,0.0004406
14,49.4763,0.61672,1.0519,0.8673,0.00409,1,0.26387,0.1652,0.52621,3.19825,0.7221,0.000470502,0.000470502,0.000470502
15,52.5858,0.5889,1.15077,0.84919,0.00409,1,0.24316,0.14306,0.59802,3.17434,0.73256,0.000499612,0.000499612,0.000499612
16,55.7063,0.60909,1.04802,0.84646,0.00409,1,0.17048,0.06921,0.58432,3.21379,0.76059,0.00052793,0.00052793,0.00052793
17,58.8226,0.61969,1.01914,0.85324,0.00409,1,0.13857,0.05306,0.46614,3.15518,0.73873,0.000555456,0.000555456,0.000555456
18,61.9199,0.61168,0.96925,0.88583,0.00409,1,0.39326,0.2267,0.58188,3.11572,0.75798,0.00058219,0.00058219,0.00058219
