epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,65.1537,0.66597,0.929,0.85987,0.00409,1,0.09256,0.03132,0.61089,3.16637,0.77384,0.000608132,0.000608132,0.000608132
20,68.2082,0.60383,0.97897,0.86425,0.00409,1,0.05755,0.03181,0.51107,3.12683,0.76072,0.000633282,0.000633282,0.000633282
21,71.3095,0.57256,0.9231,0.84854,0.00409,1,0.70918,0.52403,0.47216,2.99659,0.7383,0.00065764,0.00065764,0.00065764
22,74.2295,0.61235,0.99539,0.87338,0.00409,1,0.11651,0.09167,0.47209,3.0208,0.74,0.000681206,0.000681206,0.000681206
23,77.161,0.59174,0.99355,0.87756,0.00409,1,0.8219,0.62563,0.51563,2.97358,0.7356,0.00070398,0.00070398,0.00070398
24,80.3082,0.58625,0.93223,0.85541,0.56775,0.03704,0.90972,0.73447,0.53632,2.90588,0.72953,0.000725962,0.000725962,0.000725962
25,83.2484,0.58595,0.9001,0.88137,0.77679,0.13096,0.8612,0.69861,0.51354,2.78272,0.71566,0.000747152,0.000747152,0.000747152
26,86.106,0.5755,0.92018,0.86758,0.82107,0.17156,0.94152,0.74809,0.49312,2.75921,0.71838,0.00076755,0.00076755,0.00076755
27,89.0303,0.60663,1.03087,0.89104,0.64174,0.14815,0.80908,0.62624,0.51784,2.56911,0.75565,0.000787156,0.000787156,0.000787156
28,91.9182,0.59822,0.86383,0.85715,0.55266,0.50368,0.54656,0.41681,0.62874,2.2348,0.8325,0.00080597,0.00080597,0.00080597
29,94.8213,0.56357,0.87932,0.86663,0.78802,0.27632,0.54117,0.43034,0.5429,2.39973,0.72904,0.000823992,0.000823992,0.000823992
30,97.7669,0.59151,0.86166,0.87868,1,0.47564,0.93785,0.82818,0.53171,2.31263,0.74739,0.000841222,0.000841222,0.000841222
31,100.704,0.58648,0.83151,0.86865,0.42931,0.77778,0.36561,0.334,0.5121,2.15476,0.75469,0.00085766,0.00085766,0.00085766
32,103.837,0.58078,0.78783,0.87179,1,0.79949,0.91879,0.82927,0.52509,1.88068,0.75875,0.000873306,0.000873306,0.000873306
33,107.017,0.62364,0.76526,0.90308,1,0.90877,0.99293,0.90104,0.53299,1.9248,0.741,0.00088816,0.00088816,0.00088816
34,110.157,0.59575,0.75846,0.86177,0.90528,0.81481,0.96769,0.8559,0.52046,2.12053,0.76059,0.000902222,0.000902222,0.000902222
35,113.184,0.58734,0.75833,0.8859,0.89246,0.81481,0.89083,0.79918,0.60257,1.85668,0.86195,0.000915492,0.000915492,0.000915492
36,116.175,0.57468,0.80906,0.87714,1,0.86557,0.93796,0.83868,0.54051,1.8208,0.78038,0.00092797,0.00092797,0.00092797
37,119.152,0.58135,0.74904,0.84431,1,0.85493,0.96544,0.86157,0.53142,1.75746,0.75047,0.000939656,0.000939656,0.000939656
38,122.13,0.57516,0.86344,0.85256,0.9885,0.96296,0.99393,0.88437,0.49456,1.36585,0.75114,0.00095055,0.00095055,0.00095055
39,125.178,0.54698,0.75952,0.84462,1,0.91876,0.99393,0.84742,0.49852,1.25638,0.73543,0.000960652,0.000960652,0.000960652
40,128.269,0.59059,0.6688,0.8604,1,0.98593,0.995,0.89291,0.48916,1.37708,0.75929,0.000969962,0.000969962,0.000969962
41,131.097,0.65368,0.75371,0.8811,0.92998,0.98408,0.97606,0.78516,0.58928,1.51878,0.84903,0.00097848,0.00097848,0.00097848
42,134.26,0.67829,0.74164,0.89547,0.87016,0.99303,0.96971,0.79891,0.58915,1.19388,0.86012,0.000986206,0.000986206,0.000986206
43,137.312,0.59362,0.7097,0.8872,1,0.95795,0.99393,0.8485,0.54078,1.03564,0.85831,0.00099314,0.00099314,0.00099314
44,140.384,0.58208,0.7235,0.85074,1,0.98938,0.995,0.85187,0.57534,1.04974,0.92485,0.000999282,0.000999282,0.000999282
45,143.358,0.58605,0.67278,0.87355,1,0.96287,0.99293,0.86194,0.58031,0.95293,0.91547,0.00100463,0.00100463,0.00100463
46,146.405,0.60669,0.66254,0.90653,0.95904,0.96296,0.96451,0.82172,0.62974,1.04282,0.93807,0.00100919,0.00100919,0.00100919
47,149.379,0.55901,0.6739,0.87351,1,0.95671,0.96648,0.77736,0.71872,1.01493,0.9841,0.00101296,0.00101296,0.00101296
48,152.247,0.58976,0.63608,0.84256,0.98836,0.96296,0.99293,0.75242,0.83277,0.88499,1.04641,0.00101593,0.00101593,0.00101593
49,155.305,0.58265,0.66707,0.89079,1,0.95945,0.99393,0.79522,0.74142,0.87105,0.94887,0.00101811,0.00101811,0.00101811
50,158.215,0.59459,0.64448,0.87671,1,0.96284,0.995,0.8362,0.65147,0.67382,0.92544,0.0010195,0.0010195,0.0010195
51,161.268,0.60508,0.61811,0.85058,1,0.9587,0.995,0.79649,0.66784,0.70165,0.9429,0.00101,0.00101,0.00101
52,164.294,0.57787,0.66204,0.86831,0.96381,0.98676,0.99107,0.83315,0.66272,0.76611,1.01627,0.0009902,0.0009902,0.0009902
53,167.209,0.57779,0.64534,0.87656,1,0.96041,0.99393,0.81198,0.70525,0.72792,1.02777,0.0009704,0.0009704,0.0009704
54,170.188,0.55306,0.57779,0.86381,0.96286,1,0.9925,0.82701,0.68547,0.7186,0.94798,0.0009506,0.0009506,0.0009506
55,173.245,0.56063,0.57525,0.85884,1,0.95855,0.992,0.83713,0.64315,0.74945,0.84162,0.0009308,0.0009308,0.0009308
56,176.093,0.56242,0.58696,0.86204,1,0.96245,0.99393,0.86478,0.56415,0.73114,0.7689,0.000911,0.000911,0.000911
57,178.994,0.55851,0.59411,0.88559,0.98772,0.96296,0.99293,0.89566,0.47367,0.63442,0.71821,0.0008912,0.0008912,0.0008912
58,181.92,0.55424,0.58282,0.8623,1,0.99784,0.995,0.88549,0.51984,0.61022,0.74526,0.0008714,0.0008714,0.0008714
59,184.857,0.5328,0.58149,0.86954,0.99663,0.96296,0.99393,0.8689,0.50568,0.6095,0.72222,0.0008516,0.0008516,0.0008516
60,187.917,0.48251,0.54462,0.82902,0.99662,0.96296,0.96563,0.86759,0.48428,0.61365,0.73394,0.0008318,0.0008318,0.0008318
61,190.923,0.50657,0.57873,0.88343,0.99596,0.96296,0.98476,0.86234,0.4609,0.51036,0.72545,0.000812,0.000812,0.000812
62,193.958,0.58677,0.58999,0.87303,0.99547,0.96296,0.99293,0.88462,0.45423,0.48363,0.73575,0.0007922,0.0007922,0.0007922
63,196.896,0.52766,0.55312,0.85362,0.99792,1,0.995,0.88991,0.48478,0.56972,0.74968,0.0007724,0.0007724,0.0007724
64,199.852,0.52652,0.56891,0.88072,0.99747,1,0.995,0.84411,0.62053,0.52534,0.85189,0.0007526,0.0007526,0.0007526
65,202.869,0.58333,0.54208,0.86558,0.99613,1,0.995,0.85842,0.55239,0.48072,0.77082,0.0007328,0.0007328,0.0007328
66,205.726,0.53453,0.51225,0.85449,0.99663,1,0.995,0.91514,0.45076,0.48084,0.7072,0.000713,0.000713,0.000713
67,208.744,0.52263,0.5264,0.85538,0.99779,1,0.995,0.89601,0.47679,0.44774,0.71032,0.0006932,0.0006932,0.0006932
68,211.718,0.56495,0.5229,0.8525,0.99783,1,0.995,0.88935,0.52733,0.45748,0.72416,0.0006734,0.0006734,0.0006734
69,214.804,0.48113,0.47776,0.84746,0.99831,1,0.995,0.88916,0.46759,0.45024,0.72283,0.0006536,0.0006536,0.0006536
70,217.751,0.52844,0.4864,0.85657,0.99863,1,0.995,0.86579,0.45707,0.45746,0.72665,0.0006338,0.0006338,0.0006338
71,220.84,0.51403,0.49617,0.86101,0.99823,1,0.995,0.87857,0.478,0.43105,0.74021,0.000614,0.000614,0.000614
72,223.865,0.51663,0.46338,0.82412,0.99756,1,0.995,0.88651,0.43823,0.41708,0.73427,0.0005942,0.0005942,0.0005942
73,226.941,0.55942,0.49987,0.89276,0.99417,1,0.995,0.92309,0.40707,0.37073,0.72459,0.0005744,0.0005744,0.0005744
74,229.989,0.49949,0.47857,0.8501,0.99415,1,0.995,0.93286,0.38463,0.34128,0.70957,0.0005546,0.0005546,0.0005546
75,232.934,0.48546,0.44831,0.81,0.99496,1,0.995,0.91567,0.40596,0.34032,0.71033,0.0005348,0.0005348,0.0005348
76,235.895,0.45303,0.44211,0.825,0.99777,1,0.995,0.90201,0.4157,0.33816,0.71019,0.000515,0.000515,0.000515
77,238.882,0.48851,0.46195,0.87368,0.99786,1,0.995,0.91957,0.40162,0.32996,0.70774,0.0004952,0.0004952,0.0004952
78,241.943,0.51261,0.44232,0.84459,0.99776,1,0.995,0.88642,0.42243,0.3468,0.72607,0.0004754,0.0004754,0.0004754
79,244.982,0.51248,0.44111,0.84198,0.99731,1,0.995,0.86724,0.46372,0.3458,0.73601,0.0004556,0.0004556,0.0004556
80,248.233,0.51471,0.45614,0.8695,0.99953,1,0.995,0.89681,0.47448,0.34757,0.72388,0.0004358,0.0004358,0.0004358
81,251.267,0.46986,0.46365,0.8807,0.99795,1,0.995,0.93244,0.43457,0.33672,0.70459,0.000416,0.000416,0.000416
82,254.493,0.48837,0.42326,0.84651,0.99798,1,0.995,0.90491,0.40913,0.33334,0.70173,0.0003962,0.0003962,0.0003962
83,257.379,0.51074,0.4589,0.86917,0.99794,1,0.995,0.90597,0.41156,0.35243,0.70796,0.0003764,0.0003764,0.0003764
84,260.377,0.4944,0.43284,0.86074,0.99794,1,0.995,0.89295,0.39696,0.34789,0.7045,0.0003566,0.0003566,0.0003566
85,263.217,0.45602,0.41363,0.8318,0.99786,1,0.995,0.91746,0.39223,0.34335,0.69849,0.0003368,0.0003368,0.0003368
86,266.016,0.51157,0.44364,0.83874,0.99784,1,0.995,0.91667,0.38586,0.33525,0.69863,0.000317,0.000317,0.000317
87,268.857,0.45045,0.41474,0.82218,0.99785,1,0.995,0.91667,0.38488,0.32758,0.69847,0.0002972,0.0002972,0.0002972
88,271.795,0.41988,0.41666,0.81388,0.99785,1,0.995,0.92275,0.39188,0.32312,0.69471,0.0002774,0.0002774,0.0002774
89,274.694,0.46557,0.41648,0.835,0.99788,1,0.995,0.90494,0.39505,0.31121,0.69814,0.0002576,0.0002576,0.0002576
90,277.568,0.45459,0.40341,0.82358,0.99796,1,0.995,0.89941,0.40245,0.32098,0.70324,0.0002378,0.0002378,0.0002378
91,280.479,0.40791,0.40676,0.82347,0.99802,1,0.995,0.91452,0.40469,0.33081,0.70954,0.000218,0.000218,0.000218
92,283.199,0.38563,0.39032,0.81097,0.99804,1,0.995,0.915,0.40063,0.31506,0.7016,0.0001982,0.0001982,0.0001982
93,285.971,0.40758,0.39892,0.8301,0.99141,1,0.995,0.92104,0.39354,0.32481,0.69996,0.0001784,0.0001784,0.0001784
94,288.89,0.39992,0.39219,0.81402,0.99211,1,0.995,0.92192,0.39837,0.32138,0.70006,0.0001586,0.0001586,0.0001586
95,291.709,0.42082,0.4032,0.83723,0.99092,1,0.995,0.90802,0.40992,0.31432,0.70362,0.0001388,0.0001388,0.0001388
96,294.455,0.3796,0.3792,0.80526,0.98813,1,0.995,0.91014,0.40339,0.31,0.70328,0.000119,0.000119,0.000119
97,297.254,0.38964,0.38561,0.79612,0.98436,1,0.995,0.91763,0.39969,0.30534,0.70351,9.92e-05,9.92e-05,9.92e-05
98,300.022,0.37565,0.38261,0.79338,0.98054,1,0.995,0.91115,0.40251,0.30667,0.70466,7.94e-05,7.94e-05,7.94e-05
99,302.801,0.37972,0.38942,0.81105,0.98022,1,0.995,0.9117,0.41047,0.30684,0.706,5.96e-05,5.96e-05,5.96e-05
100,305.838,0.35727,0.37411,0.78975,0.98189,1,0.995,0.9112,0.41366,0.30352,0.7071,3.98e-05,3.98e-05,3.98e-05
