epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,72.3414,0.34871,0.25753,0.54076,0.80805,0.70505,0.6864,0.80833,0.74096,0.70979,0.69167,0.81217,0.74261,0.40618,0.49474,1.11727,0.83491,0.00134165,0.00134165,0.00134165
31,74.659,0.37933,0.2641,0.55256,0.83182,0.60019,0.71918,0.7201,0.64923,0.60356,0.72445,0.72457,0.6551,0.44394,0.5269,1.00255,0.85421,0.00138181,0.00138181,0.00138181
32,76.99,0.37312,0.24009,0.52587,0.80699,0.67382,0.72895,0.806,0.68271,0.67382,0.72895,0.80679,0.72457,0.43105,0.55196,0.96843,0.84855,0.00142164,0.00142164,0.00142164
33,79.3181,0.36174,0.2268,0.50253,0.82097,0.83888,0.80871,0.87387,0.78574,0.84037,0.8059,0.87675,0.78048,0.3685,0.54067,0.83962,0.83961,0.00146115,0.00146115,0.00146115
34,81.6611,0.37926,0.25229,0.53541,0.83424,0.87794,0.77736,0.91586,0.82195,0.87794,0.77736,0.91605,0.80036,0.36155,0.64728,0.79725,0.83916,0.00148546,0.00148546,0.00148546
35,83.9937,0.35564,0.23718,0.50414,0.82265,0.93841,0.8005,0.96368,0.85967,0.92363,0.78471,0.95554,0.79115,0.39143,1.15874,1.09355,0.85423,0.00147996,0.00147996,0.00147996
36,86.2895,0.36292,0.22358,0.53564,0.83578,0.94948,0.80086,0.94903,0.85436,0.88215,0.81397,0.95437,0.8893,0.3748,0.43704,0.99683,0.85235,0.00147446,0.00147446,0.00147446
37,88.6214,0.33785,0.24688,0.54347,0.82355,0.84427,0.88339,0.91438,0.83838,0.84427,0.88339,0.92548,0.83265,0.37842,0.44796,0.71176,0.85345,0.00146896,0.00146896,0.00146896
38,90.9131,0.34026,0.26761,0.51685,0.81743,0.80369,0.90975,0.92759,0.85058,0.80369,0.90975,0.92759,0.84608,0.37079,0.5846,0.67381,0.84746,0.00146346,0.00146346,0.00146346
39,93.2431,0.33502,0.22642,0.49562,0.82554,0.70479,0.91731,0.96831,0.85721,0.6708,0.95244,0.94809,0.82946,0.37757,0.72591,0.75596,0.84333,0.00145796,0.00145796,0.00145796
40,95.5816,0.33419,0.26646,0.49833,0.81748,0.90154,0.95773,0.97057,0.8587,0.90154,0.95773,0.9718,0.83209,0.39629,0.76805,0.57388,0.85165,0.00145246,0.00145246,0.00145246
41,97.8961,0.32528,0.23044,0.4691,0.81097,0.90513,0.90515,0.9433,0.84008,0.88478,0.86668,0.92653,0.79713,0.34637,0.77922,0.56137,0.82346,0.00144696,0.00144696,0.00144696
42,100.194,0.3385,0.21094,0.52296,0.82603,0.77757,0.945,0.89844,0.79674,0.77757,0.945,0.89844,0.77293,0.36006,0.82151,0.61928,0.82085,0.00144145,0.00144145,0.00144145
43,102.517,0.36147,0.26036,0.47771,0.82213,0.76954,0.87456,0.83065,0.72539,0.76954,0.87456,0.83486,0.71473,0.39147,0.94444,0.68682,0.84613,0.00143595,0.00143595,0.00143595
44,104.834,0.36441,0.27492,0.48218,0.81495,0.78647,0.94064,0.85183,0.73317,0.78647,0.94064,0.85658,0.7421,0.41894,0.78766,0.70245,0.85252,0.00143045,0.00143045,0.00143045
45,107.172,0.33385,0.26198,0.47669,0.82003,0.93016,0.87239,0.94398,0.83716,0.93016,0.87239,0.94597,0.83738,0.35615,0.57439,0.55367,0.80921,0.00142495,0.00142495,0.00142495
46,109.472,0.36096,0.2496,0.47171,0.83362,0.96223,0.74565,0.88704,0.78563,0.96223,0.74565,0.89147,0.7904,0.39221,0.70164,0.61948,0.81241,0.00141945,0.00141945,0.00141945
47,111.847,0.35233,0.24995,0.47983,0.82584,0.8771,0.73918,0.868,0.7771,0.8771,0.73918,0.86867,0.7611,0.50143,0.78866,0.89436,0.85628,0.00141395,0.00141395,0.00141395
